import time: self [us] | cumulative | imported package
import time:      7872 |      36001 |               numpy._core.multiarray
import time:      1268 |       1268 |               numpy._core.umath
import time:       886 |        886 |                 numpy._core._dtype
import time:       688 |        688 |                 numpy._core._string_helpers
import time:      1260 |       1260 |                 numpy._core._type_aliases
import time:      1639 |       4471 |               numpy._core.numerictypes
import time:      1345 |       1345 |                           _compat_pickle
import time:       619 |        619 |                           _pickle
import time:      4425 |       6388 |                         pickle
import time:      1217 |       7605 |                       numpy._core._methods
import time:      4981 |      12585 |                     numpy._core.fromnumeric
import time:      1695 |      14279 |                   numpy._core.shape_base
import time:      1106 |       1106 |                   numpy._core._ufunc_config
import time:       900 |        900 |                   numpy._core._asarray
import time:      4433 |       4433 |                   numpy._core.arrayprint
import time:      4975 |      25690 |                 numpy._core.numeric
import time:      1602 |      27292 |               numpy._core.einsumfunc
import time:      1518 |       1518 |               numpy._core.function_base
import time:      1516 |       1516 |               numpy._core.getlimits
import time:      1384 |       1384 |               numpy._core.memmap
import time:      2147 |       2147 |               numpy._core.records
import time:     40575 |      40575 |               numpy._core._add_newdocs
import time:     10129 |      10129 |               numpy._core._add_newdocs_scalars
import time:       922 |        922 |               numpy._core._dtype_ctypes
import time:       849 |        849 |                   _ctypes
import time:      1895 |       1895 |                   ctypes._endian
import time:      5353 |       8096 |                 ctypes
import time:      4049 |      12145 |               numpy._core._internal
import time:       929 |        929 |               numpy._pytesttester
import time:      2790 |     143080 |             numpy._core
import time:       158 |     143238 |           numpy._core._multiarray_umath
import time:      1507 |     144744 |         numpy.__config__
import time:       816 |        816 |                           numpy._typing._nbit_base
import time:       904 |        904 |                           numpy._typing._nested_sequence
import time:       550 |        550 |                           numpy._typing._shape
import time:     10119 |      12388 |                         numpy._typing._array_like
import time:      9705 |       9705 |                         numpy._typing._char_codes
import time:     11006 |      11006 |                         numpy._typing._dtype_like
import time:       601 |        601 |                         numpy._typing._nbit
import time:       629 |        629 |                         numpy._typing._scalars
import time:       514 |        514 |                         numpy._typing._ufunc
import time:      1329 |      36168 |                       numpy._typing
import time:      1009 |       1009 |                         numpy.lib._stride_tricks_impl
import time:      1505 |       2514 |                       numpy.lib._twodim_base_impl
import time:       436 |        436 |                         numpy.lib._array_utils_impl
import time:       659 |       1095 |                       numpy.lib.array_utils
import time:      1435 |       1435 |                       numpy.linalg._umath_linalg
import time:      6729 |      47938 |                     numpy.linalg._linalg
import time:       851 |      48789 |                   numpy.linalg
import time:      1934 |      50722 |                 numpy.matrixlib.defmatrix
import time:       827 |      51549 |               numpy.matrixlib
import time:      1411 |       1411 |                 numpy.lib._histograms_impl
import time:      5517 |       6927 |               numpy.lib._function_base_impl
import time:      6989 |      65464 |             numpy.lib._index_tricks_impl
import time:      2226 |      67689 |           numpy.lib._arraypad_impl
import time:      3622 |       3622 |           numpy.lib._arraysetops_impl
import time:      1119 |       1119 |           numpy.lib._arrayterator_impl
import time:      2113 |       2113 |           numpy.lib._nanfunctions_impl
import time:      1303 |       1303 |                 numpy.lib._utils_impl
import time:      1944 |       3246 |               numpy.lib._format_impl
import time:      1519 |       4765 |             numpy.lib.format
import time:      1764 |       1764 |             numpy.lib._datasource
import time:      2540 |       2540 |             numpy.lib._iotools
import time:      4197 |      13264 |           numpy.lib._npyio_impl
import time:      2067 |       2067 |               numpy.lib._ufunclike_impl
import time:      4171 |       6238 |             numpy.lib._type_check_impl
import time:      3796 |      10034 |           numpy.lib._polynomial_impl
import time:      2401 |       2401 |           numpy.lib._shape_base_impl
import time:       911 |        911 |           numpy.lib._version
import time:       816 |        816 |           numpy.lib.introspect
import time:      1145 |       1145 |           numpy.lib.mixins
import time:       535 |        535 |           numpy.lib.npyio
import time:      2215 |       2215 |             numpy.lib._scimath_impl
import time:      1013 |       3227 |           numpy.lib.scimath
import time:      1133 |       1133 |           numpy.lib.stride_tricks
import time:      3498 |     111502 |         numpy.lib
import time:      1459 |       1459 |         numpy._array_api_info
import time:      5624 |     267572 |       numpy
import time:      1923 |       1923 |         numpy._typing._add_docstring
import time:       848 |       2770 |       numpy.typing
import time:       666 |        666 |         asgiref
import time:       326 |        326 |             _queue
import time:      1077 |       1403 |           queue
import time:      1122 |       2524 |         concurrent.futures.thread
import time:       963 |        963 |         asgiref.current_thread_executor
import time:       664 |        664 |         asgiref.local
import time:      3779 |       8594 |       asgiref.sync
import time:      2733 |       2733 |             scipy.__config__
import time:       781 |        781 |             scipy.version
import time:       217 |        217 |               scipy._distributor_init_local
import time:       903 |       1119 |             scipy._distributor_init
import time:       368 |        368 |                 cython
import time:      1644 |       2011 |               scipy._lib._testutils
import time:       761 |       2771 |             scipy._lib
import time:     10743 |      10743 |             scipy._lib._pep440
import time:      1252 |       1252 |                 scipy._cyutility
import time:      1546 |       2798 |               scipy._lib._ccallback_c
import time:      1012 |       3810 |             scipy._lib._ccallback
import time:      1563 |      23518 |           scipy
import time:      4154 |       4154 |                               scipy._lib.array_api_compat.common._typing
import time:      1602 |       5756 |                             scipy._lib.array_api_compat.common._helpers
import time:       605 |       6360 |                           scipy._lib.array_api_compat.common
import time:       594 |       6953 |                         scipy._lib.array_api_compat
import time:       623 |        623 |                           scipy._lib.array_api_compat._internal
import time:      2212 |       2212 |                             numpy._core.strings
import time:       656 |       2868 |                           numpy.strings
import time:      1309 |       1309 |                               numpy.polynomial.polyutils
import time:      1814 |       1814 |                               numpy.polynomial._polybase
import time:      2592 |       5715 |                             numpy.polynomial.chebyshev
import time:      1490 |       1490 |                             numpy.polynomial.hermite
import time:      1420 |       1420 |                             numpy.polynomial.hermite_e
import time:      1505 |       1505 |                             numpy.polynomial.laguerre
import time:      1422 |       1422 |                             numpy.polynomial.legendre
import time:      1891 |       1891 |                             numpy.polynomial.polynomial
import time:       972 |      14412 |                           numpy.polynomial
import time:      2877 |       2877 |                                 numpy.random._common
import time:      3073 |       5949 |                               numpy.random.bit_generator
import time:      1628 |       7576 |                             numpy.random._bounded_integers
import time:      1255 |       1255 |                                 numpy.random._pcg64
import time:      4698 |       5953 |                               numpy.random._generator
import time:       911 |        911 |                               numpy.random._mt19937
import time:       920 |        920 |                               numpy.random._philox
import time:      1089 |       1089 |                               numpy.random._sfc64
import time:      6510 |       6510 |                               numpy.random.mtrand
